periodo,componente,promedio,minimo,maximo,entidades
2023-02,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1493851.7,1493851.7,1493851.7,1
2023-02,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1780141.12,1780141.12,1780141.12,1
2023-02,Ajuste,-599.43,-599.43,-599.43,1
2023-02,Capital requerido por riesgo de mercado,286289.42,286289.42,286289.42,1
2023-02,Patrimonio técnico ajustado,270518.14,270518.14,270518.14,1
2023-02,Sobrante o faltante,92504.03,92504.03,92504.03,1
2023-02,Índice de solvencia,15.2,15.2,15.2,1
2023-02,Capital secundario,47763.34,47763.34,47763.34,1
2023-01,Capital requerido por riesgo de mercado,221775.72,221775.72,221775.72,1
2023-01,Índice de solvencia,15.99,15.99,15.99,1
2023-01,Sobrante o faltante,101055.21,101055.21,101055.21,1
2023-01,Patrimonio técnico ajustado,269835.46,269835.46,269835.46,1
2023-01,Capital secundario,48301.19,48301.19,48301.19,1
2023-01,Capital primario,222154.42,222154.42,222154.42,1
2023-01,Ajuste,-620.15,-620.15,-620.15,1
2023-01,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1687802.48,1687802.48,1687802.48,1
2023-01,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1466026.76,1466026.76,1466026.76,1
2022-12,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1670476.09,1670476.09,1670476.09,1
2022-12,Ajuste,-1469.7,-1469.7,-1469.7,1
2022-12,Capital requerido por riesgo de mercado,229318.54,229318.54,229318.54,1
2022-12,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1441157.55,1441157.55,1441157.55,1
2022-12,Capital primario,208895.82,208895.82,208895.82,1
2022-12,Capital secundario,48350.33,48350.33,48350.33,1
2022-12,Sobrante o faltante,88728.83,88728.83,88728.83,1
2022-12,Índice de solvencia,15.31,15.31,15.31,1
2022-12,Patrimonio técnico ajustado,255776.44,255776.44,255776.44,1
2022-11,Capital requerido por riesgo de mercado,297225.09,297225.09,297225.09,1
2022-11,Índice de solvencia,15.05,15.05,15.05,1
2022-11,Sobrante o faltante,87010.15,87010.15,87010.15,1
2022-11,Patrimonio técnico ajustado,259413.74,259413.74,259413.74,1
2022-11,Capital secundario,51142.2,51142.2,51142.2,1
2022-11,Capital primario,209641.31,209641.31,209641.31,1
2022-11,Ajuste,-1369.78,-1369.78,-1369.78,1
2022-11,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1724035.87,1724035.87,1724035.87,1
2022-11,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1426810.77,1426810.77,1426810.77,1
2022-10,Activos y contingentes ponderados por riesgo crediticio y riesgo de mercado,1677893.11,1677893.11,1677893.11,1
2022-10,Ajuste,-1372.73,-1372.73,-1372.73,1
2022-10,Capital requerido por riesgo de mercado,286527.18,286527.18,286527.18,1
2022-10,Activos y contingentes ponderados por riesgo crediticio y deducciones al patrimonio,1391365.93,1391365.93,1391365.93,1
2022-10,Capital primario,209642.37,209642.37,209642.37,1
2022-10,Patrimonio técnico ajustado,259545.5,259545.5,259545.5,1
2022-10,Capital secundario,51916.43,51916.43,51916.43,1
2022-10,Sobrante o faltante,91756.19,91756.19,91756.19,1
2022-10,Índice de solvencia,15.47,15.47,15.47,1
2022-09,Índice de solvencia,15.92,15.92,15.92,1
2022-09,Sobrante o faltante,96144.97,96144.97,96144.97,1
2022-09,Patrimonio técnico ajustado,258644.65,258644.65,258644.65,1
2022-09,Capital secundario,51745.52,51745.52,51745.52,1
